id;fname;author;title
297;Bergh van Eysinga-Elias, Jeanette van den - Multatuli Onze groote schrijvers deel 2.txt;Jeanette van den Bergh van Eysinga-Elias;Multatuli / Onze groote schrijvers, deel 2
298;Bergmann, Anton - Ernest Staas, advocaat.txt;Anton Bergmann;Ernest Staas, advocaat
299;Beringen, John - Het Bob Evers virus.txt;John Beringen;Het Bob Evers Virus
300;Beringen, John - Het verschijnsel Bob Evers.txt;John Beringen;Het verschijnsel Bob Evers
301;Beringen, John - Intriges in Irkoesk.txt;John Beringen;Intriges in Irkoesk
302;Beringen, John - Magistrale manoeuvres in Moskou.txt;John Beringen;Magistrale Manoeuvres in Moskou
303;Beringen, John - Twee jongens en een Bob Evers-serie.txt;John Beringen;Twee jongens en een Bob Evers-serie
304;Beringen, John - Warboel in Vladiwostok.txt;John Beringen;Warboel in Vladiwostok
305;Berk, Lucia de - Lucia de B.txt;Lucia de Berk;Lucia de B.
306;Berk, Marjan - Berk.txt;Marjan Berk;[NL] 2001 - Berk
307;Berkhof, Aster - Veel geluk, professor!.txt;Aster Berkhof;Veel geluk, professor!
308;Berkhout, Jet - De thuishulp.txt;Jet Berkhout;De thuishulp
309;Berman, Magda - Zakelijke Etiquette.txt;Magda Berman;zakelijke etiquette
310;Bernhart, Patrick - 2010  Zo werden wij wereldkampioen.txt;Patrick Bernhart;2010: Zo werden wij wereldkampioen
311;Bernlef, J - Hersenschimmen.txt;J. Bernlef;Hersenschimmen leesclubed.
312;Bernlef, J. - Buiten is het maandag.txt;J. Bernlef;Buiten is het maandag
313;Berry, Steve - De Alexandriâ-connectie.txt;Steve Berry;De Alexandrië-connectie
314;Berry, Steve - De Amberzaal.txt;Steve Berry;De_Amberzaal_vrij
315;Berry, Steve - De Erfenis Van De Tempeliers.txt;Steve Berry;De Erfenis Van De Tempeliers
316;Berry, Steve - De Romanov voorspelling.txt;Steve Berry;De Romanov voorspelling
317;Berry, Steve - Het derde geheim.txt;Steve Berry;Het derde geheim
318;Berry, Steve - Het geheim van de kathedraal.txt;Steve Berry;Het geheim van de kathedraal
319;Berry, Steve - Het Venetiaans bedrog.txt;Steve Berry;Het Venetiaans bedrog
320;Bertens, H - Hugo de Groot en zijn rechtsphilosophie.txt;H. Bertens;Hugo de Groot en zijn rechtsphilosophie
321;Bertrand, A. - Van schooljongen tot koning.txt;A. Bertrand;Van Schooljongen tot Koning Een verhaal samengesteld uit de aanteekeningen van Robert I, koning van Czernovië
322;Bertrand, H - Een strijd om de schatten van Alva.txt;H. Bertrand;Een strijd om de schatten van Alva of De watergeuzen in 1572
323;Bervoets, Hanna - Lieve Celine.txt;Hanna Bervoets;Lieve Celine
324;Bevarly, Elizabeth - Aan de haak.txt;Elizabeth Bevarly;Aan de haak
325;Bevarly, Elizabeth - Alles voor liefde.txt;Elizabeth Bevarly;Alles voor liefde
326;Bevarly, Elizabeth - Een nieuwe ring.txt;Elizabeth Bevarly;Een nieuwe ring
327;Bevarly, Elizabeth - Vertrouw op mij.txt;Elizabeth Bevarly;Vertrouw op mij
328;Bevroren tegoed - Muns_ Bert.txt;Bert Muns;Bevroren tegoed
329;Beyala, Calixthe - Mama heeft een minaar.txt;Calixthe Beyala;Mama heeft een minaar
330;Bezouwen, Diana van - Babyfoon.txt;Diana van Bezouwen;De babyfoon
331;Bickmore, Barbera - Op de adem van de wind.txt;Barbera Bickmore;Op de adem van de wind
332;Biegel, Paul - Anderland.txt;Paul Biegel;Anderland
333;Biegel, Paul - Ik Wou Dat Ik Anders Was.txt;Paul Biegel;Ik wou dat ik anders was
334;Biemold, Hannah - In Het Hooi.txt;Hannah Biemold;In het hooi
335;Biesheuvel, Wieke - Afvallen en opstaan.txt;Wieke Biesheuvel;Afvallen en opstaan
336;Bijbel - Bijbel.txt;Unknown;Bijbel
337;Bijlo, Vincent - De Ottomaanse herder.txt;Vincent Bijlo;De Ottomaanse herder (NL, 2009)
338;Bijlo, Vincent - Kort Door De Bocht.txt;Vincent Bijlo;Kort door de bocht
339;Bijlsma, Aliefka - Mede namens mijn vrouw.txt;Aliefka Bijlsma;Mede Namens Mijn Vrouw
340;Bilderdijk, Willem - De ondergang der eerste wareld.txt;Willem Bilderdijk;De ondergang der Eerste Wareld
341;Binchy, Maeve - Echo's.txt;Maeve Binchy;Echo's / druk 1
342;Binchy, Maeve - Een zaterdag in september.txt;Maeve Binchy;Een zaterdag in september
343;Binchy, Maeve - Hart en ziel.txt;Maeve Binchy;Hart en ziel
344;Binchy, Maeve - Onder de oude beuk.txt;Maeve Binchy;Onder de oude beuk
345;Binchy, Maeve - Wit bloeit de meidoorn.txt;Maeve Binchy;Wit bloeit de meidoorn / druk 1
346;Bird, Michael J. - Wie Betaalt De Veerman.txt;Michael Bird;Wie betaalt de Veerman
347;Biriukov, Pavel Ivanovich - Tolstois leven.txt;Pavel Ivanovič Birjukov;Tolstoi's leven Zijne persoonlijke herinneringen, brieven en aanteekeningen 1828-1863
348;Bitton Jackson, Livia E - Zeg niet dat je pas dertien bent.txt;Livia E. Bitton Jackson;Zeg niet dat je pas dertien bent
349;Blaauw, J.A. - Dossier Blaauw.txt;J.A. Blaauw;dossier Blaauw
350;Blauw water - S. van der Vlugt.txt;Simone van der Vlugt;Blauw water
351;Blicher-Clausen, Jenny - Het verloren Tooverland.txt;Jenny Blicher-Clausen;Het Verloren Tooverland
352;Blink, Hendrik - Boven en beneden den Moerdijk.txt;Hendrik Blink;Ons Heerlijk Vaderland (deel 2 van 4) / Boven en beneden den Moerdijk
353;Blish, James  - Steden doorkruizen het heelal.txt;James Blish;Steden doorkruizen het heelal
354;Bloemendaal, Frits - De communicatieoorlog.txt;Frits Bloemendaal;De communicatieoorlog
355;Blokker, Jan  Jan Blokker jr. en Bas Blok - Nederland in twaalf moorden.txt;Jan Blokker & Jan Blokker jr. & Bas Blokker;Nederland in Twaalf Moorden
356;Blokker, Jan jr. - Alle wegen naar Rome.txt;Jan Blokker jr.;Alle wegen naar Rome
357;Boccaccio, Giovanni - De Decamerone van Boccaccio.txt;Giovanni Boccaccio;De Decamerone van Boccaccio
358;Bodar, Antoine - In zwakheid krachtig.txt;Antoine Bodar;In Zwakheid Krachtig
359;Bodar, Antoine - Klokkenluider van Sint Jan.txt;Antoine Bodar;Klokkenluider van Sint Jan
360;Bodar, Antoine - Nochtans zal ik juichen.txt;Antoine Bodar;Nochtans zal ik juichen
361;Bodar, Antoine - Uit de eeuwige stad.txt;Antoine Bodar;Uit de eeuwige stad
362;Boek, Dirk van 't - Zalig Zijn De Armen.txt;Dirk van 't Boek;Zalig Zijn De Armen
363;Boer, Herman Pieter de - Het Damesorkest.txt;Herman Pieter de Boer;Het Damesorkest
364;Boer, Jan den - Boeddhisme.txt;Jan den Boer;Boeddhisme
365;Boer, T.Tj. de  - Een vliegreisje in het land der rijzende zon.txt;T. Tj. de Boer;Een vliegreisje in het Land der Rijzende Zon / De Aarde en haar Volken, 1906
366;Boerebach, Michel - Nooit meer zaterdag.txt;Michel Boerebach;Nooit meer zaterdag
367;Boersma, Marelle - De babymakelaar.txt;Marelle Boersma;De babymakelaar / druk 1
368;BOL.com - Stampvol verhalen.txt;Unknown;Stampvol verhalen compleet
369;Bolton, Sharon - Bezwering.txt;Sharon Bolton;Bezwering / druk 1
370;Bon, Annemarie - Nieuw Leven.txt;Annemarie Bon;Nieuw leven / druk 1
371;Bonansinga, Jay - Hitman.txt;Jay Bonansinga;Hitman
372;Bond, Alison - Beroemd!.txt;Alison Bond;Beroemd!
373;Boon, Vasco vd & Gerben vd Marel - De Vastgoedfraude.txt;Vasco van der Boon & Gerben van der Marel;De vastgoedfraude
374;Boose, Johan de - De poppenspeler en de duivelin.txt;Johan de Boose;De poppenspeler en de duivelin / druk 1
375;Booth, Martin - The American.txt;Martin Booth;The American? / druk 1
376;Borcher, Elizabeth - Sprookjes uit Rusland.txt;Elisabeth Borcher;Sprookjes uit Rusland
377;Borderwijk, Frederik - Karakter.txt;Frederik Borderwijk;Karakter
378;Borst, Hugo - Over vaders en zonen.txt;Hugo Borst;Over vaders en zonen / druk 9
379;Bosboom-Toussaint A L G - Frits Millioen en zijne vrienden.txt;A. L. G. Bosboom-Toussaint;Frits Millioen en zijne vrienden
380;Bosboom-Toussaint A L G - Majoor Frans.txt;A. L. G. Bosboom-Toussaint;Majoor Frans
381;Bosch, G. - Auvergne.txt;G. Bosch;Auvergne / De Aarde en haar Volken, 1906
382;Bosch, Ingeborg - De herontdekking van het ware zelf.txt;Ingeborg Bosch;De herontdekking van het ware zelf
383;Boter, Iris e.a. - Summer in the city.txt;Iris Boter;Summer in the city: Verhalenbundel (NL, 2010)
384;Boudier-Bakker, Ina - De Klop Op De Deur.txt;Ina Boudier-Bakker;De klop op de deur
385;Boudier-Bakker, Ina - De Straat.txt;Ina Boudier-Bakker;De Straat
386;Boudou, Khalid - Alles of niets.txt;Khalid Boudou;Alles of niets
387;Boudou, Khalid - Pizzamaffia.txt;Khalid Boudou;Pizzamaffia / druk 1
388;Bouma, Machteld - Losers.txt;Machteld Bouma;Losers
389;Bouma, Machteld - Pur.txt;Machteld Bouma;Pur
390;Boutens Kloos Moens Scharten en Vos - Vijf moderne dichters -.txt;P. C. Boutens;Van vijf moderne dichters
391;Bovenkamp, Marielle - Holiday blues.txt;Mariëlle Bovenkamp;holiday blues
392;Box, C.j. - Het Ultimatum.txt;C. J. Box;het ultimatum / druk 1
393;Boyne, John - De jongen in de gestreepte pyjama.txt;John Boyne;De jongen in de gestreepte pyjama
394;Boyne, John - De scheepsjongen.txt;John Boyne;Scheepsjongen
395;Braak, Menno ter - Verzameld werk Deel 1.txt;Menno ter Braak;Verzameld werk Deel 1
396;Braam, Conny - De Russische timmerman.txt;Conny Braam;[NL] 2007 - De Russische timmerman
397;Braam, Conny - De Woede Van Abraham.txt;Conny Braam;De woede van Abraham
398;Bradbury, Ray - De Laatste Martiaan.txt;Ray Bradburry;De Laatste Martiaan
399;Bradbury, Ray - Fahrenheit 451.txt;Ray Bradbury;Fahrenheit 451
400;Bradbury, Ray - Macaber Carnaval.txt;Ray Bradbury;Macaber Carnaval
401;Bradley, Alan - De smaak van venijn.txt;Alan Bradley;De smaak van venijn / druk 1
402;Brakman, Willem - De Reis Van De Douanier Naar Bentheim.txt;Willem Brakman;De Reis van de Douanier naar Bentheim
403;Bral, Sjaak - Who the fuck is Frans van Es.txt;Sjaak Bral;Who the fuck is Frans van Es
404;Bram Vermeulen - Help, ik ben blank geworden.txt;Bram Vermeulen;Help, ik ben blank geworden
405;Brand, Kurt - Handel in arkonstaal.txt;Kurt Brand;Perry Rhodan 0046 Handel in Arkonstaal
406;Brand, Kurt - Levtan, de verrader.txt;Kurt Brand;Perry Rhodan 0034 Levtan, de verrader
407;Brand, Kurt - Ruimteschip TITAN seint S.O.S.txt;Kurt Brand;Perry Rhodan 0042 Ruimteschip TITAN seint S.O.S
408;Brandende liefde - Jan Wolkers.txt;Jan Wolkers;Brandende liefde
409;Braun, Lilian Jackson - De kat die de hoofdrol speelde.txt;Lilian Jackson Braun;De kat die de hoofdrol speelde
410;Braun, Lilian Jackson - De kat die van achteren naar voren las.txt;Lilian Jackson Braun;De kat die van achteren naar voren las
411;Brehm, Alfred Edmund - De apen.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 1, Hoofdstuk 01: De Apen
412;Brehm, Alfred Edmund - De boomvogels.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 2, Hoofdstuk 01: De Boomvogels.
413;Brehm, Alfred Edmund - De evenvingerigen.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 1, Hoofdstuk 11: De Evenvingerigen
414;Brehm, Alfred Edmund - De hoendervogels.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 2, Hoofdstuk 04: De Hoendervogels
415;Brehm, Alfred Edmund - De knaagdieren.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 1, Hoofdstuk 07: De Knaagdieren
416;Brehm, Alfred Edmund - De roofdieren.txt;Alfred Edmund Brehm;Het Leven der Dieren / Deel 1, Hoofdstuk 04: De Roofdieren
417;Brehm, Alfred Edmund - Insecteneters.txt;Alfred Edmund Brehm;"Het Leven der Dieren / Deel 1, Hoofdstuk 05: Robben; Hoofdstuk 06: Insecteneters"
418;Breij, Claudia de - Dingen Die Fijn Zijn.txt;Claudia de Breij;Dingen Die Fijn Zijn
419;Brenters, Marlies - Een vrouw heeft zeven gezichten.txt;Marlies Brenters;Een vrouw heeft zeven gezichten
420;Brester, Martin - Hoi, leuk dat je mijn profiel bekijkt!.txt;Martin Brester;Hoi, luek dat je mijn profiel bekijkt!
421;Breukelen, Hans van - Winnen.txt;Hans van Breukelen;Winnen
422;Bril, Martin - De kleine keizer.txt;Martin Bril;De kleine keizer / druk 1
423;Bril, Martin - Evelien.txt;Martin Bril;Evelien - Martin Bril
424;Bril, Martin - Martin Bril Volkskrant Columnist.txt;Martin bril;090503 Martin Bril Volkskrant Columnist
425;Bril, Martin - Rokjesdag.txt;Martin Bril;Rokjesdag / druk 1
426;Brokken, Jan - De wil en de weg.txt;Jan Brokken;De wil en de weg
427;Bronkhorst, David - Jack de Gate.txt;David Bronkhorst;Jack de Gate
428;Brooke, Lauren - Paardenranch Heartland-Alleen Verder.txt;Lauren Brooke;Paardenranch Heartland
429;Brookfield, Amanda - Een nieuw begin.txt;Amanda Brookfield;Een nieuw begin / druk 1
430;Brookfield, Amanda - Familie sonate.txt;Amanda Brookfield;Familie sonate
431;Brouwers, Jeroen - Bezonken rood.txt;Jeroen Brouwers;Bezonken rood
432;Brouwers, Jeroen - Het is niets.txt;Jeroen Brouwers;Het is niets
433;Brug der zuchten - Richard Russo.txt;Richard Russo;Brug der zuchten
434;Bruggen, Carry van - Eva.txt;Carry van Bruggen;Eva
435;Bruggen, Carry van - Het huisje aan de sloot.txt;Carry van Bruggen;Het huisje aan de sloot
436;Bruggen, Carry van - Prometheus.txt;Carry van Bruggen;Prometheus
437;Bruijn, Cor - Sil de strandjutter.txt;Cor Bruijn;Sil de strandjutter
438;Bruyn, Patrick de - Dodelijk Verlangen.txt;Patrick de Bruyn;Dodelijk verlangen / druk 1
439;Bruyn, Patrick de - Indringer.txt;Patrick de Bruyn;Indringer / druk 1
440;Bruyn, Patrick de - Passie.txt;Patrick de Bruyn;Passie / druk 1
441;Bruyn, Patrick de - Verdoemd.txt;Patrick de Bruyn;Verdoemd / druk 1
442;Bruyn, Patrick de - Verliefd.txt;Patrick de Bruyn;Verliefd / druk 1
443;Bruyn, Patrick de - Verminkt.txt;Patrick De Bruyn;Verminkt / druk 1
444;Bruyn, Patrick de - Vermist.txt;Patrick De Bruyn;Vermist / druk 3
445;Buenen, Joany - Prison Break Omnibus.txt;Joany Burgersdijk;Prison Break Omnibus
446;Burgersdijk, L A J - De werken van William Shakespeare.txt;L. A. J. Burgersdijk;De Werken van William Shakespeare Overzicht van Shakespeare's leven en werken
447;Burgess, Melvin - Junkies.txt;Melvin Burgess;Junkies
448;Burnier, Andreas - De Zwembadmentaliteit.txt;Andreas Burnier;De Zwembadmentaliteit
449;Burroughs, Edgar Rice - Bill de Machtige Vechter.txt;Edgar Rice Burroughs;Bill de Machtige Vechter
450;Burroughs, Edgar Rice - De Gevangenneming van Tarzan.txt;Edgar Rice Burroughs;De Gevangenneming van Tarzan
451;Burroughs, Edgar Rice - De God van Tarzan.txt;Edgar Rice Burroughs;De God van Tarzan
452;Burroughs, Edgar Rice - De Heksenmeester Zoekt Wraak.txt;Edgar Rice Burroughs;De Heksenmeester Zoekt Wraak
453;Burroughs, Edgar Rice - De Jongen en de Leeuw.txt;Edgar Rice Burroughs;De Jongen en de Leeuw
454;Burroughs, Edgar Rice - De Leeuw.txt;Edgar Rice Burroughs;De Leeuw
455;Burroughs, Edgar Rice - De Man Zonder Ziel.txt;Edgar Rice Burroughs;De Man Zonder Ziel
456;Burroughs, Edgar Rice - De Monsters van Mars.txt;Edgar Rice Burroughs;De Monsters van Mars
457;Burroughs, Edgar Rice - De Nachtmerrie.txt;Edgar Rice Burroughs;De Nachtmerrie
458;Burroughs, Edgar Rice - De Oorlogsheer van Mars.txt;Edgar Rice Burroughs;De Oorlogsheer van Mars
459;Burroughs, Edgar Rice - De Prinses van de Roode Planeet.txt;Edgar Rice Burroughs;De Prinses van de Roode Planeet
460;Burroughs, Edgar Rice - De Ruiter.txt;Edgar Rice Burroughs;De Ruiter
461;Burroughs, Edgar Rice - De Strijd om Teeka.txt;Edgar Rice Burroughs;De Strijd om Teeka
462;Burroughs, Edgar Rice - De Terugkeer van Tarzan.txt;Edgar Rice Burroughs;De Terugkeer van Tarzan
463;Burroughs, Edgar Rice - De Wilde Dieren van Tarzan.txt;Edgar Rice Burroughs;De Wilde Dieren van Tarzan
464;Burroughs, Edgar Rice - De Zoon van Tarzan.txt;Edgar Rice Burroughs;De Zoon van Tarzan
465;Burroughs, Edgar Rice - De Zwaarden van Mars.txt;Edgar Rice Burroughs;De Zwaarden van Mars
466;Burroughs, Edgar Rice - Een Jungle-grap.txt;Edgar Rice Burroughs;Een Jungle-grap
467;Burroughs, Edgar Rice - Goden van Mars.txt;Edgar rice Burroughs;John Carter 2 (Goden Van Mars)
468;Burroughs, Edgar Rice - Het einde van Bukawai.txt;Edgar Rice Burroughs;Het Einde van Bukawai
469;Burroughs, Edgar Rice - Het gevecht om de balu.txt;Edgar Rice Burroughs;Het Gevecht om de Balu
470;Burroughs, Edgar Rice - Het meisje uit de wildernis.txt;Edgar Rice Burroughs;Het Meisje uit de Wildernis
471;Burroughs, Edgar Rice - Het Oakdale Geheim.txt;Edgar Rice Burroughs;Het Oakdale Geheim
472;Burroughs, Edgar Rice - Het opperhoofd.txt;Edgar Rice Burroughs;Het Opperhoofd
473;Burroughs, Edgar Rice - In de ingewanden der aarde.txt;Edgar Rice Burroughs;In de Ingewanden der Aarde
474;Burroughs, Edgar Rice - Opperste krijgsheer van Mars.txt;Edgar rice Burroughs;John Carter 3 (Opperste Krijgsheer Van Mars)
475;Burroughs, Edgar Rice - Pellucidar.txt;Edgar Rice Burroughs;Pellucidar
476;Burroughs, Edgar Rice - Piraten op Venus.txt;Edgar Rice Burroughs;Piraten op Venus
477;Burroughs, Edgar Rice - Prinses van Mars.txt;Edgar rice Burroughs;John Carter 1 (Prinses Van Mars)
478;Burroughs, Edgar Rice - Tarzan de ongetemde.txt;Edgar Rice Burroughs;Tarzan de Ongetemde
479;Burroughs, Edgar Rice - Tarzan de onoverwinnelijke.txt;Edgar Rice Burroughs;Tarzan de Onoverwinnelijke
480;Burroughs, Edgar Rice - Tarzan de verschrikkelijke.txt;Edgar Rice Burroughs;Tarzan de Verschrikkelijke
481;Burroughs, Edgar Rice - Tarzan en de gouden leeuw.txt;Edgar Rice Burroughs;Tarzan en de Gouden leeuw
482;Burroughs, Edgar Rice - Tarzan en de gouden stad.txt;Edgar Rice Burroughs;Tarzan en de Gouden Stad
483;Burroughs, Edgar Rice - Tarzan en de juweelen van Opar.txt;Edgar Rice Burroughs;Tarzan en de Juweelen van Opar
484;Burroughs, Edgar Rice - Tarzan en de leeuw-Man.txt;Edgar Rice Burroughs;Tarzan en de Leeuw-Man
485;Burroughs, Edgar Rice - Tarzan en de negerjongen.txt;Edgar Rice Burroughs;Tarzan en de negerjongen
486;Burroughs, Edgar Rice - Tarzan en de rode ster.txt;Edgar Rice Burroughs;Tarzan en de Rode Ster
487;Burroughs, Edgar Rice - Tarzan en de schat van Opar.txt;Edgar Rice Burroughs;Tarzan en de Schat van Opar
488;Burroughs, Edgar Rice - Tarzan en het Luipaardenvolk.txt;Edgar Rice Burroughs;Tarzan en het Luipaardenvolk
489;Burroughs, Edgar Rice - Tarzan en het Mieren-Volk.txt;Edgar Rice Burroughs;Tarzan en het Mieren-Volk
490;Burroughs, Edgar Rice - Tarzan en het verloren keizerrijk.txt;Edgar Rice Burroughs;Tarzan en het Verloren Keizerrijk
491;Burroughs, Edgar Rice - Tarzan heer der wildernis.txt;Edgar Rice Burroughs;Tarzan Heer der Wildernis
492;Burroughs, Edgar Rice - Tarzan in de onderwereld.txt;Edgar Rice Burroughs;Tarzan in de Onderwereld
493;Burroughs, Edgar Rice - Tarzan redt de maan.txt;Edgar Rice Burroughs;Tarzan Redt de Maan
494;Burroughs, Edgar Rice - Tarzan triomphator.txt;Edgar Rice Burroughs;Tarzan Triomphator
495;Burroughs, Edgar Rice - Tarzan van de apen.txt;Edgar Rice Burroughs;Tarzan van de Apen
496;Burroughs, Edgar Rice - Tarzan's eerste liefde.txt;Edgar Rice Burroughs;Tarzan's eerste liefde
497;Burroughs, Edgar Rice - Tarzan's waagstuk.txt;Edgar Rice Burroughs;Tarzan's Waagstuk
498;Burroughs, Edgar Rice - Terug naar het steenen tijdperk.txt;Edgar Rice Burroughs;Terug naar het Steenen Tijdperk
499;Burroughs, Edgar Rice - Thuvia, de maagd van Mars.txt;Edgar Rice Burroughs;Thuvia, de Maagd van Mars
500;Burroughs, Edgar Rice - Verdwaald op Venus.txt;Edgar Rice Burroughs;Verdwaald op Venus
501;Burroughs, Edgar Rice - Vlucht op Venus.txt;Edgar Rice Burroughs;Vlucht op Venus
502;Bursens, Amaat - Een Vlaming Op Reis Door Kongo.txt;Amaat Bursens;Een Vlaming Op Reis Door Kongo
503;Burton, Elizabeth - Mam, kun je me geld lenen.txt;Burton, Elizabeth;Mam, kun je me geld lenen ? / druk 1
504;Busch, Frederick - De nachtwaker.txt;Frederick Busch;De Nachtwaker
505;Buthler, Dan & Ohrlund, Dag - Moord Net.txt;Dan Buthler & Dag Ohrlund;Moord.net / druk 1
506;Buysse, Cyriel - De vroolijke tocht.txt;Cyriël Buysse;De vroolijke tocht
507;Buysse, Cyriel - De Zwarte Kost.txt;Cyriël Buysse;De Zwarte Kost
508;Buysse, Cyriel - Het leven van Rozeke van Dalen deel 1.txt;Cyriël Buysse;Het leven van Rozeke van Dalen, deel 1
509;Buysse, Cyriel - Het leven van Rozeke van Dalen deel 2.txt;Cyriël Buysse;Het leven van Rozeke van Dalen, deel 2
510;Buysse, Cyriel - Lente.txt;Cyriël Buysse;Lente
511;Buysse, Cyriel - Oorlogsvisoenen.txt;Cyriël Buysse;Oorlogsvisoenen
512;Buysse, Cyriel - Plus-Que-Parfait.txt;Cyriël Buysse;Plus-Que-Parfait
513;Buysse, Cyriel - Van hoog en laag.txt;Cyriël Buysse;Van hoog en laag Het eerste levensboek
514;Buysse, Cyriell - De roman van den schaatsenrijder.txt;Cyriël Buysse;De roman van den schaatsenrijder
515;Byron, Katie - Het Einde Van Lijden.txt;Katie Byron;Het einde van lijden
516;Cabre, Jaume - Edelachtbare.txt;Jaume Cabre;Edelachtbare / druk 1
517;Camilleri, Andrea - De bloedakker.txt;Andrea Camilleri;Montalbano: De bloedakker (NL, 2008)
518;Camilleri, Andrea - De eerste zaak van Montalbano.txt;Andrea Camilleri;De eerste zaak van Montalbano
519;Camilleri, Andrea - De Gestolen Twaalfuurtjes.txt;Andrea Camilleri;[NL] Montalbano 03 (1996) - De gestolen twaalfuurtjes
520;Camilleri, Andrea - De Hond Van Terracotta.txt;Andrea Camilleri;[NL] Montalbano 02 (1996) - De hond van terracotta
521;Camilleri, Andrea - De Siciliaanse Opera.txt;Andrea Camilleri;[NL] 1995 - De Siciliaanse Opera
522;Camilleri, Andrea - De Stem Van De Viool.txt;Andrea Camilleri;[NL] Montalbano 04 (1997) - De stem van de viool
523;Camilleri, Andrea - De Vleugels Van De Sfinx.txt;Andrea Camilleri;[NL] Montalbano 11 (2006) - De Vleugels van de Sfinx
524;Camilleri, Andrea - De Vorm Van Water.txt;Andrea Camilleri;[NL] Montalbano 01 (1994) - De vorm van water
525;Camilleri, Andrea - Het Medallion.txt;Andrea Camilleri;[NL] 2005 - Het Medallion
526;Camilleri, Andrea - Het Uitstapje Naar Tindari.txt;Andrea Camilleri;[NL] Montalbano 05 (2000) - Het uitstapje naar Tindari
527;Campen, M. H. Van - Critisch en didactisch.txt;M. H. Van Campen;Over literatuur / Critisch en didactisch
528;Campert, Remco - Dichter.txt;Remco Campert;Dichter
529;Campert, Remco - Een liefde in parijs.txt;Remco Campert;Een liefde in Parijs / druk 10
530;Campert, Remco - Nieuwe herinneringen_ gedichten.txt;Remco Campert;Nieuwe herinneringen
531;Capel, Theo - Zeurt u maar!.txt;Theo Capel;Zeurt u maar!
532;Caribisch complot - Havank Ross.txt;Havank Ross;Caribisch complot
533;Carmiggelt, Simon - Mooi Kado.txt;Simon Carmiggelt;Mooi kado
534;Carmiggelt, Simon - vroeger kon je lachen.txt;Simon Carmiggelt;vroeger kon je lachen
535;Carr, Alan - Stoppen met roken.txt;Alan Carr;Stoppen met roken
536;Carrington, Tori - Wanhopig verlangen.txt;Tori Carrington;Wanhopig verlangen
537;Carroll, Claudia - Hij Houdt Niet Van Me  Hij Houdt Van Me.txt;Claudia Carroll;Hij houdt niet van me, hij houdt van me
538;Casey, Jane - Spoorloos.txt;Jane Casey;Spoorloos
539;Cashore, Kristin - De gave van Katsa.txt;Kristin Cashore;De gave van Katsa / druk 1
540;Casidy, Cala - aanzoek vd prins.txt;Cala Casidy;Aanzoek van de Prins
541;Cassidy, Anne - Zusje vermist.txt;Anne Cassidy;Zusje vermist (NL, 2002, Jeugd)
542;Castillo, Linda - Zwijgplicht.txt;Linda Castillo;Zwijgplicht
543;Catton, Eleanor - De Repetitie.txt;Eleanor Catton;De repetitie
544;Cazemier, Caja - De Eerste Keer.txt;Caja Cazemier;[NL] 2002 - De eerste keer
545;Cazemier, Caja - Verliefd op je leraar.txt;Caja Cazemier;Verliefd op je leraar
546;Cecilia, Ahem - P.S. Ik Hou Van Je.txt;Ahem Cecillia;P.S. Ik hou van je
547;Ceder, Camilla - Bevroren Ogenblik.txt;Camilla Ceder;Bevroren Ogenblik
548;Cervantes Saavedra, Miguel de - Avonturen van Don Quichot.txt;Miguel de Cervantes Saavedra;Don Quichot van La Mancha
549;Chadda, Sarwat - Duivelskus.txt;Sarwat Chadda;Duivelskus / druk 1
550;Chantre, Madame B. - Onderweg in Tunis.txt;Madame B. Chantre;Onderweg in Tunis / De Aarde en haar Volken, 1909
551;Chappuis, Herman Theodore - Napoleon Geschetst.txt;Herman Théodore Chappuis;Napoleon Geschetst Tweede omgewerkte druk
552;Char - de essentie.txt;Char;De Essentie
553;Charmed - 27 Huis Vol Herinneringen.txt;Constance M. Burge;Charmed 27 Een huis vol Herinneringen
554;Charmed Classics - 06 Een Wraakzuchtig Verleden.txt;Constance M. Burge;Charmed Classics 06 Een wraakzuchtig verleden
555;Charmed Classics 04 - Stemmen uit het verleden.txt;Constance M. Burge;Charmed Classics 04 Stemmen uit het verleden
556;Charmed Classics 05 - Voodoorituelen.txt;Constance M. Burge;Charmed Classics 05 Voodoorituelen
557;Charriäre, Henri - Papillon.txt;Henri Charrière;Papillon
558;Chevalier, Tracy - Ik droomde in blauw.txt;Tracy Chevalier;Ik droomde in blauw
559;chiaverini, jennifer - De quiltclub.txt;Jennifer Chiaverini;quiltclub
560;Chiel, Deborah - De Aanklacht.txt;Deborah Chiel;De Aanklacht
561;Chil Rajchman - Een van de laatsten.txt;Chil Rajchman;Een van de laatsten
562;Child, Lee - 61 uur.txt;Lee Child;61 uur
563;Child, Lee - Buitenwacht.txt;Lee Child;Buitenwacht
564;Child, Lee - Niets te verliezen.txt;Lee Child;Niets te verliezen
565;Child, Lee - Sluipschutter.txt;Lee Child;Sluipschutter
566;Child, Lee - Tegendraads.txt;Lee Child;Tegendraads
567;Child, Lee - Voltreffer.txt;Lee Child;Voltreffer
568;Child, Lincoln - Deep Storm.txt;Lincoln Child;Deep Storm
