filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"Dis, Adriaan van - Tikkop","9789045704531,9045704536,9789045704531",62331,Dis,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045704531,301,Tikkop,"Dis, Adriaan van - Tikkop.xml"
"Forsyth, Frederick - De honden van de oorlog","9022972917,9022972917,9789022972915",962,FORSYTH,Non-fictie informatief/professioneel algemeen,dut,9789022972915,600,Honden van de oorlog,"Forsyth, Frederick - De honden van de oorlog.xml"
"MacLean, Alistair - Moordcommando","9022513238,9022513238,9789022513231",32008,MACNEILL,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022513231,312,ALISTAIR MACLEANS MOORDCOMMAND,"MacLean, Alistair - Moordcommando.xml"
"Fortier, Anne - Julia","9789021804293,9021804298,9789021804293",233097,Fortier,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789021804293,302,Julia,"Fortier, Anne - Julia.xml"
"Fleming, Ian - James Bond 007 - Casino Royale","2118639252,2118639252,9782118639259",,,,,,,,"Fleming, Ian - James Bond 007 - Casino Royale.xml"
"El Bezaz, Naima - Minnares Van De Duivel","9789025433505,9025433502,9789025433505",239874,Bezaz,"Pockets literaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789025433505,311,Minnares van de duivel,"El Bezaz, Naima - Minnares Van De Duivel.xml"
"Childers, Erskine - Het raadsel van de wadden","9060454383,9060454383,9789060454381",88698,CHILDERS,"Watersporten,Sport en spel algemeen,Non-fictie Vrije tijd/algemeen",dut,9789060454381,484,RAADSEL VAN DE WADDEN,"Childers, Erskine - Het raadsel van de wadden.xml"
00087 Sterfkou,"9789460920080,946092008X,9789460920080",38323,Child,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789460920080,330,Sterfkou,00087 Sterfkou.xml
zakelijke etiquette - Magda Berman,,,,,,,,,
"Kerr, Katharine - Deverry 13 - Steengeest","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;2693455243,2693455243,9782693455244;2160311111,2160311111,9782160311110;2116222222,2116222222,9782116222224;0268435456,0268435456,9780268435455;2116972582,2116972582,9782116972587;3972347243,3972347243,9783972347243;2117634222,2117634222,9782117634224;2462555234,2462555234,9782462555236;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382;2161011111,2161011111,9782161011118",,,,,,,,"Kerr, Katharine - Deverry 13 - Steengeest-12.xml"
20 Het vale paard - Agatha Christie,,,,,,,,,
Het kleine huis (09) de vier prairiejaren - Laura Ingalls Wilder,"902161667X,902161667X,9789021616674",30887,Wilder,"Fictie 10-12 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789021616674,283,Een huis voor Laura,Het kleine huis (09) de vier prairiejaren - Laura Ingalls Wilder.xml
"French, Nicci - Bezeten van mij","2116972582,2116972582,9782116972587;2155222432,2155222432,9782155222438;9041406050,9041406050,9789041406057;2118639252,2118639252,9782118639259",61742,French,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789041406057,302,Bezeten van mij,"French, Nicci - Bezeten van mij-2.xml"
"Marillier, Juliet - 1 Drager van het Vossenmasker",,,,,,,,,
De Zahir - Paulo Coelho,"9789029565141,9029565144,9789029565141",49943,Coelho,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789029565141,302,De Zahir,De Zahir - Paulo Coelho.xml
"Bodar, Antoine - Uit de eeuwige stad","9789026322303,9026322305,9789026322303",26597,BODAR,Theologie algemeen,dut,9789026322303,700,Uit de eeuwige stad,"Bodar, Antoine - Uit de eeuwige stad.xml"
"Aspe, Pieter - Bankroet","9789022322482,9022322483,9789022322482",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022322482,330,Bankroet,"Aspe, Pieter - Bankroet.xml"
"Verkerk, Anita - Princess Flirt",,,,,,,,,
"Feist, Raymond E - Krondor 1 verraad","9029067497,9029067497,9789029067492",155433,Feist,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789029067492,312,Het verraad,"Feist, Raymond E - Krondor 1 verraad.xml"
"Herriot, James - Alle schepsels, groot en klein",,,,,,,,,
"Hannah, Sophie - Kleine meid",,,,,,,,,
"Busch, Frederick - De nachtwaker",,,,,,,,,
"Mendes, Bob - Overspel","9789022321706,9022321703,9789022321706",31666,Mendes,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022321706,330,Overspel,"Mendes, Bob - Overspel.xml"
"Heinz, Markus - De dwergen deel 1","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;7918013123,7918013123,9787918013124;2155222432,2155222432,9782155222438;2160311111,2160311111,9782160311110;0268435456,0268435456,9780268435455",,,,,,,,"Heinz, Markus - De dwergen deel 1-3.xml"
"Rowling, J K - Harry Potter en de relieken van de dood",,,,,,,,,
"Rhodan, Perry - 0031 - De keizer van New-York","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0031 - De keizer van New-York.xml"
"Rigbey, Liz - Herinner mij","9051087977,9051087977,9789051087970",,,,,,,,"Rigbey, Liz - Herinner mij.xml"
"Steemers, Nicolette - Zachte heelmeesters","9789020412895,9020412892,9789020412895",227950,Steemers,"Literaire thriller,Literaire fictie algemeen",dut,9789020412895,305,Zachte heelmeesters,"Steemers, Nicolette - Zachte heelmeesters.xml"
Feest van het begin,"9789021442457,9021442450,9789021442457",29001,Leeuwen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789021442457,301,Feest van het begin,Feest van het begin.xml
"Appel, Rene - Van twee kanten",,,,,,,,,
ZEVEN JAAR GOEDE SEKS - Viva,,Giphart,,,,,,,
"Rhodan, Perry - 0358 - Ontmoeting in M-87","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0358 - Ontmoeting in M-87.xml"
"Mulisch, Harry - (1977) Oude Lucht",,,,,,,,,
"Jones, Daniel - Vent op de Bank","9789063059972,9063059973,9789063059972",,,,,,,,"Jones, Daniel - Vent op de Bank.xml"
"Gerritsen, Tess - De dood in de ogen","9789034773500,9034773507,9789034773500;9034773507,9034773507,9789034773500",,,,,,,,"Gerritsen, Tess - De dood in de ogen-1.xml"
"Mansell, Jill - (2002) Kiezen of Delen (Nadia Knows Best)",,,,,,,,,
"Reading, Mario - Het Nostradamus Complot","9789049501396,9049501397,9789049501396",167947,READING,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789049501396,332,Het Nostradamus Complot,"Reading, Mario - Het Nostradamus Complot.xml"
BE10 - Willy van der Heide,,,,,,,,,
"Rendell, Ruth - De fruitplukker",,,,,,,,,
"Keyzer, Rob - Help Pieter Is Weg",,,,,,,,,
Gerechtigheid - Stieg Larsson,,,,,,,,,
"Frost, Scott - De Uitverkorene",,,,,,,,,
"Bril, Martin - Evelien 4 - De Tomeloze Evelien",,,,,,,,,
"Hartman, Corine - Schone Kunsten","9789061120865,9061120861,9789061120865",240320,Hartman,"Literaire thriller,Literaire fictie algemeen",dut,9789061120865,305,Schone kunsten,"Hartman, Corine - Schone Kunsten.xml"
"Slee, Carry - See you in Timboektoe",,,,,,,,,
"Hartman, Corine - In vreemde handen","9789061125792,9061125790,9789061125792",240320,Hartman,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789061125792,332,In vreemde handen,"Hartman, Corine - In vreemde handen.xml"
Gebroken wit,"9789029584272,9029584270,9789029584272",211958,Jong,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029584272,301,Gebroken wit,Gebroken wit.xml
Een ziel van steen,,,,,,,,,
Jackie Collins - De Hollywood Connectie deel 1 Macht,,,,,,,,,
"Morris, Desmond - De Mensentuin",,,,,,,,,
Incognito,"9789025439750,9025439756,9789025439750",217974,Rijks,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025439750,301,Incognito,Incognito.xml
"Rhodan, Perry - 0330 - Een mens als Rhodan","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0330 - Een mens als Rhodan.xml"
Kronkjaar,"9789041422439,9041422439,9789041422439;9789041416742,9041416749,9789041416742",211541,Roeters,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789041416742,301,Kronkjaar,Kronkjaar-1.xml
"Jordan, Robert - Het rad des tijds boek 07 - Een kroon van zwaarden","9024555388,9024555388,9789024555383;9789024555383,9024555388,9789024555383",155428,Jordan,"Fantasy,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024555383,334,Een kroon van zwaarden,"Jordan, Robert - Het rad des tijds boek 07 - Een kroon van zwaarden-1.xml"
"Rhodan, Perry - 0420 - Raadsels van het verleden",,,,,,,,,
De tranen van Mata Hari - Tomas Ross,"9789023454465,9023454464,9789023454465",34804,Ross,"Literaire thriller,Literaire fictie algemeen",dut,9789023454465,305,De tranen van Mata Hari,De tranen van Mata Hari - Tomas Ross.xml
"Maynard, Joyce - Een lang weekend",,,,,,,,,
"May, Karl - Het geheim van Old Surehand",,,,,,,,,
"Sharpe, Tom - Wilt 03 - Wilt Zit Omhoog",,,,,,,,,
"Mansell, Jill - (2008) Scherven Brengen Geluk (An Offer You Can't Refuse)",,,,,,,,,
"Cookson, Catherine - De mantel der liefde","9010033600,9010033600,9789010033604",31979,COOKSON,Non-fictie informatief/professioneel algemeen,dut,9789010033604,600,Mantel der liefde,"Cookson, Catherine - De mantel der liefde.xml"
"Baantjer, A C - 28 De Cock en het lijk op retour","9789026125201,9026125208,9789026125201",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125201,331,De Cock en het lijk op retour,"Baantjer, A C - 28 De Cock en het lijk op retour.xml"
"Hurwitz, Gregg - Vertrouw Niemand",,,,,,,,,
Baantjer - De Cock En Het Sombere Naakt,"9789026124556,9026124554,9789026124556",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026124556,331,De Cock en het sombere naakt,Baantjer - De Cock En Het Sombere Naakt.xml
Het wijnsurvivalboek - Ilja Gort,,,,,,,,,
"Beets, Nicolaas - Camera Obscura",,,,,,,,,
J.F. Oltmans - Het Huis van Het Zeewijf,,,,,,,,,
"Hart, Maarten 't - De Som Van Misverstanden",,,,,,,,,
"Simenon, Georges - (1931) Maigret en het lijk aan de kerkdeur (La pendu de Saint-Pholien)",,,,,,,,,
"Ginkel, H J van - De Groote Pyramide",,,,,,,,,
"Ceder, Camilla - Bevroren Ogenblik [V2]","9789021804187,9021804182,9789021804187",213826,Ceder,"Literaire thriller,Literaire fictie algemeen",dut,9789021804187,305,Bevroren ogenblik,"Ceder, Camilla - Bevroren Ogenblik [V2].xml"
"Tracy, P.J. - Monkeewrench 5 - Moordspel","9789047515944,9047515943,9789047515944",446353,Tracey,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789047515944,332,Moordspel,"Tracy, P.J. - Monkeewrench 5 - Moordspel.xml"
Buiten zinnen _ druk 1 - Mel Wallis de Vries,"9789044326123,9044326120,9789044326123",224446,Wallis de Vries,"Fictie 13-15 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789044326123,284,Buiten zinnen,Buiten zinnen _ druk 1 - Mel Wallis de Vries.xml
Indiana Jones 05 - En de gevederde slang - Wolfgang Hohlbein,,,,,,,,,
Licht de Titanic - Clive Cussler,"9046111016,9046111016,9789046111017",64597,Cussler,"Pockets spanning,Pockets algemeen,Literaire fictie algemeen",dut,9789046111017,313,Licht de Titanic !,Licht de Titanic - Clive Cussler.xml
"Falcones, Ildefonso - kathedraal van de Zee",,,,,,,,,
"Matheson, Richard - De Huurling","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"Matheson, Richard - De Huurling-4.xml"
"Smith, Wilbur - Het lot van de jager","9789460920868,9460920861,9789460920868",32047,Smith,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789460920868,330,Lot van de jager,"Smith, Wilbur - Het lot van de jager.xml"
"Rhodan, Perry - 0435 - Het drie-planeten-spel",,,,,,,,,
Duizend schitterende zonnen - Khaled Hosseini,,,,,,,,,
"Royen van, Heleen - De gelukkige huisvrouw",,,,,,,,,
Brug der zuchten - Richard Russo,,,,,,,,,
"Baantjer, A C - 03 De Cock en het lijk in de kerstnacht","9789026124532,9026124538,9789026124532",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026124532,331,De Cock en het lijk in de kerstnacht,"Baantjer, A C - 03 De Cock en het lijk in de kerstnacht.xml"
