filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
"Reichs, Kathy - Bot voor bot","9789022549216,9022549216,9789022549216",33076,Reichs,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022549216,332,Bot voor bot,"Reichs, Kathy - Bot voor bot.xml"
Vertellingen van vroeger en later tijd - J. van Lennep,,,,,,,,,
Van de koele meren des doods - Frederik van Eeden,,,,,,,,,
"Suarez, Daniel - Deamon","9789024531912,9024531918,9789024531912",202673,Suarez,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024531912,332,Daemon,"Suarez, Daniel - Deamon.xml"
"Benson, Bert - De Nieuwe Euro-5 - 25 Het Teken van Tamo",,,,,,,,,
Koud hart - Tess Gerritsen,"9789044322231,9044322230,9789044322231",38668,Gerritsen,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789044322231,332,Koud hart,Koud hart - Tess Gerritsen.xml
c.j. sansom-winter in madrid,"9789026127687,9026127685,9789026127687",43264,Sansom,"Literaire thriller,Literaire fictie algemeen",dut,9789026127687,305,Winter in Madrid,c.j. sansom-winter in madrid.xml
"Peters, Ellis - De Ware Aard",,,,,,,,,
"Alleen Eva _ druk 1 - Ersson, S_","9789461090102,9461090102,9789461090102;9789461090096,9461090099,9789461090096;9789461090133,9461090137,9789461090133;9789461090089,9461090080,9789461090089;9789461090126,9461090129,9789461090126;9789461090119,9461090110,9789461090119",454059,Ersson,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789461090089,332,Alleen Eva,"Alleen Eva _ druk 1 - Ersson, S_-3.xml"
"Wodehouse, P.G. - Gevleugelde varkens","2116972582,2116972582,9782116972587;9027408750,9027408750,9789027408754;9027483809,9027483809,9789027483805",101117,WODEHOUSE,Non-fictie informatief/professioneel algemeen,dut,9789027408754,600,Gevleugelde varkens,"Wodehouse, P.G. - Gevleugelde varkens-1.xml"
"Rhodan, Perry - 0325 - Tijdexperiment der ballingen",,,,,,,,,
"Marxveldt, Cissy van - De H.B.S. tijd van Joop ter Heul","9020501267,9020501267,9789020501261",25232,MARXVELDT,"Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789020501261,280,Joop ter heul,"Marxveldt, Cissy van - De H.B.S. tijd van Joop ter Heul.xml"
Jackie Collins - De wereld is vol gescheiden vrouwen,"9022527050,9022527050,9789022527054",95,COLLINS,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022527054,312,WERELD IS VOL GESCHEIDEN VROUWEN,Jackie Collins - De wereld is vol gescheiden vrouwen.xml
"Parton, Allen - Een held van een hond","9789460922367,9460922368,9789460922367",224423,Parton,"Literaire non-fictie algemeen,Literaire fictie algemeen",dut,9789460922367,320,Held van een hond,"Parton, Allen - Een held van een hond.xml"
"Roos de, H. - Kameleon 17 - Vakantie Met De Kameleon",,,,,,,,,
"Geelen, Peter - De paarse ruiter",,,,,,,,,
Een verlaten post - Johanna van Woude,,,,,,,,,
"Rhodan, Perry - 0451 - De valse Goden",,,,,,,,,
"Vance, Jack - Lyonesse 3 - Madouc",,,,,,,,,
"Benson, Bert - De Nieuwe Euro-5 - 03 Onder Vuur",,,,,,,,,
Uur van de Waarheid - Tom Clancy,,,,,,,,,
"Bosch, G. - Auvergne",,,,,,,,,
"Anscombe, Roderick - De bekentenis",,,,,,,,,
"Feist, Raymond E - Legenden van de grote Scheuring - 1 - De eervolle vijand","9029070854,9029070854,9789029070850",155433,Feist,"Fantasy,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789029070850,334,De eervolle vijand,"Feist, Raymond E - Legenden van de grote Scheuring - 1 - De eervolle vijand.xml"
Baantjer - De Cock en een deal met de duivel,"9789026125348,9026125348,9789026125348",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125348,331,De Cock en een deal met de duivel,Baantjer - De Cock en een deal met de duivel.xml
"Lagerlof, Selma - Niels Holgersson's Wonderbare Reis",,,,,,,,,
"Rosnay de, Tatiana - Haar naam was Sarah","9789047201342,9047201345,9789047201342",133122,Rosnay,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789047201342,302,Haar naam was Sarah,"Rosnay de, Tatiana - Haar naam was Sarah.xml"
"Dumas, Alexandre - De zwarte tulp",,,,,,,,,
Eens zal ik bij je zijn - Rosie Thomas,,,,,,,,,
"James, Peter - Doodsimpel","9789026126345,9026126344,9789026126345",77520,James,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026126345,332,Doodsimpel,"James, Peter - Doodsimpel.xml"
Familiestuk,"9789049952792,9049952798,9789049952792",472541,Hout,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789049952792,301,Familiestuk,Familiestuk.xml
"Rhodan, Perry - 0400 - Mensheid in de schemering",,,,,,,,,
"Galidi, Rodaan Al - De autist en de postduif","9789085422037,9085422035,9789085422037",214700,Galidi,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789085422037,301,De autist en de postduif,"Galidi, Rodaan Al - De autist en de postduif.xml"
"Bijlsma, Aliefka - Mede Namens Mijn Vrouw","9789045704449,9045704447,9789045704449",233794,Bijlsma,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045704449,301,Mede namens mijn vrouw,"Bijlsma, Aliefka - Mede Namens Mijn Vrouw.xml"
"Mourik van, Ton - De Eerstelingen","9789023992028,9023992024,9789023992028;9789023911265,9023911261,9789023911265",166623,Mourik,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789023911265,332,De Eerstelingen,"Mourik van, Ton - De Eerstelingen-1.xml"
"Cleave, Chris - Kleine bij","9789044615326,9044615327,9789044615326",217361,Cleave,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789044615326,302,Kleine Bij,"Cleave, Chris - Kleine bij.xml"
"Landell de, Olaf - Versprongen Ster",,,,,,,,,
Een meisje van honderd,"9789029585163,9029585161,9789029585163",41984,Bloem,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029585163,301,Een meisje van honderd,Een meisje van honderd.xml
"Bear, Greg - Eon",,,,,,,,,
"Jordan, Robert - Het rad des tijds boek 03 - De herrezen draak","2116972582,2116972582,9782116972587;4965613627,4965613627,9784965613628;4655622210,4655622210,9784655622213;2145233822,2145233822,9782145233826;2155222432,2155222432,9782155222438;2117634222,2117634222,9782117634224;2116222222,2116222222,9782116222224;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;0268435456,0268435456,9780268435455",,,,,,,,"Jordan, Robert - Het rad des tijds boek 03 - De herrezen draak.xml"
Pier en oceaan,"9789020413557,9020413554,9789020413557;9789020412857,902041285X,9789020412857",157391,Jong,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789020413557,301,Pier en oceaan,Pier en oceaan.xml
Maar buiten is het feest,"9789029585200,902958520X,9789029585200",50156,Japin,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789029585200,301,Maar buiten is het feest,Maar buiten is het feest.xml
"King, Stephen - De donkere toren - 2 Het Teken Van Drie","9024527384,9024527384,9789024527380",6043,King,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789024527380,330,Het teken van drie,"King, Stephen - De donkere toren - 2 Het Teken Van Drie.xml"
Havank Terpstra - Havank 35 (1965) De Erven Mateor,,,,,,,,,
De gouden poort. - Alistair MacLean,"9022528235,9022528235,9789022528235",,,,,,,,De gouden poort. - Alistair MacLean.xml
"Gerrard, Nicci - Soham","9022541347,9022541347,9789022541340",31856,Gerrard,"Literaire non-fictie algemeen,Literaire fictie algemeen",dut,9789022541340,320,Soham,"Gerrard, Nicci - Soham.xml"
"Burroughs, Edgar Rice - Tarzan en de schat van Opar",,,,,,,,,
"Auel, Jean M - De mammoetjagers",,,,,,,,,
"Aspe, Pieter - Rebus","9789022321430,9022321436,9789022321430",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022321430,330,Rebus,"Aspe, Pieter - Rebus.xml"
De Luchtschipbreukelingen - Jules Verne,,,,,,,,,
"Bouma, Machteld - Losers","9789047200970,9047200977,9789047200970",224086,Bouma,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789047200970,301,Losers,"Bouma, Machteld - Losers.xml"
"Lloyd, Josie - Liefde op het tweede gezicht",,,,,,,,,
"Lippke, Mila - De Poppenverzamelaar",,,,,,,,,
"Faulks, Sebastian - Het Lied Van De Loopgraven",,,,,,,,,
"Hollander, Wil den - Op zoek naar mezelf",,,,,,,,,
"Murphy, Gloria - Dreiging in de Nacht",,,,,,,,,
"Holdstock, Robert - Ziende Blind",,,,,,,,,
"Kallentoft, Mons - Zomerengel","9789041417299,904141729X,9789041417299",224163,Kallentoft,"Literaire thriller,Literaire fictie algemeen",dut,9789041417299,305,Zomerengel,"Kallentoft, Mons - Zomerengel.xml"
"Dorrestein, Renate - Een sterke man",,,,,,,,,
"Dijkzeul, Lieneke - Koude lente",,,,,,,,,
Zonde,"9789049953232,9049953239,9789049953232;9789049952259,9049952259,9789049952259",245077,Ruis,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789049953232,301,Zonde,Zonde.xml
Timothy Ferriss -  Een werkweek van 4 uur,"9789460920394,946092039X,9789460920394;0887306187,0887306187,9780887306181",153398,Ferriss,"Management algemeen,Bedrijfskunde algemeen",dut,9789460920394,801,Een werkweek van 4 uur,Timothy Ferriss -  Een werkweek van 4 uur.xml
Spring,"9789023472155,9023472152,9789023472155",169592,Jonge,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023472155,301,Spring,Spring.xml
"Stigter, Bianca - De ontsproten Picasso","9789025430412,9025430414,9789025430412",60957,Stigter,"Kunst algemeen,Non-fictie informatief/professioneel algemeen",dut,9789025430412,640,De ontsproten Picasso,"Stigter, Bianca - De ontsproten Picasso.xml"
"Gerrard, Nicci - Nooit vergeten","9789460929120,9460929125,9789460929120",31856,Gerrard,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789460929120,302,Nooit vergeten,"Gerrard, Nicci - Nooit vergeten.xml"
"Claudel, Philippe - Het verslag van Brodeck","9789023448716,9023448715,9789023448716",154422,Claudel,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789023448716,302,Het verslag van Brodeck,"Claudel, Philippe - Het verslag van Brodeck.xml"
"Keymeulen, Annie van - Rosa's Huis",,,,,,,,,
"Beishuizen, Tineke - Het Dagboek Van Anne-Wil 6",,,,,,,,,
"Burroughs, Edgar Rice - Goden Van Mars","9020506811,9020506811,9789020506815",3065,BURROUGHS,Non-fictie informatief/professioneel algemeen,dut,9789020506815,600,Goden van mars,"Burroughs, Edgar Rice - Goden Van Mars.xml"
"Wodehouse, P.G. - Volle maan","9027408742,9027408742,9789027408747;9027483809,9027483809,9789027483805",101117,WODEHOUSE,Non-fictie informatief/professioneel algemeen,dut,9789027408747,600,Volle maan,"Wodehouse, P.G. - Volle maan.xml"
De gelukkige boerderij _ druk 1 - Emma Hamberg,"9789021802794,9021802791,9789021802794",153274,Hamberg,"Romantiek,Populaire fiction algemeen,Literaire fictie algemeen",dut,9789021802794,343,De gelukkige boerderij,De gelukkige boerderij _ druk 1 - Emma Hamberg.xml
"Verkerk, Anita - Bedrogen liefde","9076968888,9076968888,9789076968889",41592,VERKERK,"Populaire fiction algemeen,Literaire fictie algemeen",dut,9789076968889,340,BEDROGEN LIEFDE,"Verkerk, Anita - Bedrogen liefde.xml"
"King, Stephen - Dichte mist",,,,,,,,,
Een klein heldendicht - Herman Gorter,,,,,,,,,
Maigret en de keurige mensen - Georges Simenon,,,,,,,,,
"Baldacci, David - (2008) Niets dan de waarheid (The Whole Truth)",,,,,,,,,
"Fitzek, Sebastian - De Therapie","9789026127731,9026127731,9789026127731",119466,Fitzek,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026127731,332,De Therapie,"Fitzek, Sebastian - De Therapie.xml"
Mieke Maaike's obscene jeugd_ een pornografisch verhaal - Louis Paul Boon,"9029505257,9029505257,9789029505253",18602,Boon,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789029505253,302,Mieke Maaike's obscene jeugd,Mieke Maaike's obscene jeugd_ een pornografisch verhaal - Louis Paul Boon.xml
"Baantjer, A C - 33 De Cock en moord a la carte","9789026125256,9026125259,9789026125256",619868,Baantjer,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026125256,331,De Cock en moord a la carte,"Baantjer, A C - 33 De Cock en moord a la carte.xml"
"Amelineau, Emile - Een feudale familie in Egypte De Aarde",,,,,,,,,
"Sedaris, David - Naakt",,,,,,,,,
"Norman, Hilary - Susanna","9022522741,9022522741,9789022522745",20850,NORMAN,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789022522745,312,SUSANNA,"Norman, Hilary - Susanna.xml"
Slachthuis _ druk 1 - Stuart MacBride,"9789047509325,9047509323,9789047509325;9789047512363,9047512367,9789047512363",45655,MacBride,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789047509325,330,Steenkoud,Slachthuis _ druk 1 - Stuart MacBride.xml
"Servan-Schreiber, David - Uw brein als medicijn","9789021511917,9021511916,9789021511917;9789021546100,9021546108,9789021546100",221112,Servan-Schreiber,"Psychotherapie en andere therapieen,Psychologie algemeen,Theologie algemeen",dut,9789021546100,777,Uw brein als medicijn,"Servan-Schreiber, David - Uw brein als medicijn-1.xml"
"Snicket, Lemony - Ellendige Avonturen 02 - De slangenserre",,,,,,,,,
"Weldon, Fay - Saunageheimen","9789025431150,9025431151,9789025431150",40903,Weldon,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789025431150,302,Saunageheimen,"Weldon, Fay - Saunageheimen.xml"
Op de foto,"9789021442174,9021442175,9789021442174",15592,Schippers,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789021442174,301,Op de foto,Op de foto.xml
"Sarabande, William - Rijk der schaduwen","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110;0268435456,0268435456,9780268435455",,,,,,,,"Sarabande, William - Rijk der schaduwen-4.xml"
"Jacobs, Paul - Een Ijskoud Gerecht",,,,,,,,,
"Kerr, Katharine - Deverry 09 - Drakengloed V1","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;2693455243,2693455243,9782693455244;2160311111,2160311111,9782160311110;2116222222,2116222222,9782116222224;0268435456,0268435456,9780268435455;2116972582,2116972582,9782116972587;3972347243,3972347243,9783972347243;2117634222,2117634222,9782117634224;2462555234,2462555234,9782462555236;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382;2161011111,2161011111,9782161011118",,,,,,,,"Kerr, Katharine - Deverry 09 - Drakengloed V1-9.xml"
"Simenon, Georges - (1931) Maigret en de gele hond (Le chien jaune)",,,,,,,,,
"Palmen, Connie - De Wetten",,,,,,,,,
De mammoetjagers (Aardkinderen deel 3) - Jean M. Auel,,,,,,,,,
"James, Peter - 4 Op Sterven Na Dood","9789026126376,9026126379,9789026126376",77520,James,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026126376,332,Op sterven na dood,"James, Peter - 4 Op Sterven Na Dood.xml"
"Peters, Ellis - 12 De ware aard",,,,,,,,,
Schaduwtuin - Tineke Beishuizen,,,,,,,,,
"Verhulst, Dimitri - Mevrouw Verona daalt de heuvel af","2155222432,2155222432,9782155222438",,,,,,,,"Verhulst, Dimitri - Mevrouw Verona daalt de heuvel af.xml"
Weeskinderen - Lody van de Kamp,"9789023993490,9023993497,9789023993490;9789023907084,9023907086,9789023907084",35922,KAMP,"Oorlogs- en verzetsroman,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789023907084,337,Weeskinderen,Weeskinderen - Lody van de Kamp-1.xml
"Merryl, Lou - Jo Durand Serie 1 Deel 13 - Jo en de Koude Mannequin",,,,,,,,,
Schijnbeweging - Harlan Coben,"9789460920905,946092090X,9789460920905",32331,Coben,"Literaire thriller,Literaire fictie algemeen",dut,9789460920905,305,Schijnbeweging,Schijnbeweging - Harlan Coben.xml
"Burroughs, Edgar Rice - Tarzan Heer der Wildernis",,,,,,,,,
"Verhulst, Dimitri - Problemski Hotel","9789025429478,9025429475,9789025429478",40568,Verhulst,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025429478,301,Problemski hotel,"Verhulst, Dimitri - Problemski Hotel.xml"
"Crispin, A.C. - V","2116972582,2116972582,9782116972587;4655622210,4655622210,9784655622213;2145233822,2145233822,9782145233826;2155222432,2155222432,9782155222438;2117634222,2117634222,9782117634224;1627421319,1627421319,9781627421317;2118639252,2118639252,9782118639259;2115422252,2115422252,9782115422250;0268435456,0268435456,9780268435455",,,,,,,,"Crispin, A.C. - V.xml"
"Heimans, Tania - De huurmoeder",,,,,,,,,
"Rhodan, Perry - 0123 - De saboteurs in A1",,,,,,,,,
"Baldacci, David - (2003) Onbewaakt Ogenblik (Split Second)",,,,,,,,,
"Rijn, Frank van - Zuilen van Axum","9789038910802,9038910800,9789038910802",123264,Rijn,"Reisverhalen,Reizen algemeen",dut,9789038910802,508,Zuilen van Axum,"Rijn, Frank van - Zuilen van Axum.xml"
"Bagley, Desmond - Op dood spoor","9010012549,9010012549,9789010012548",390907,Bagley,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789010012548,330,Op dood spoor,"Bagley, Desmond - Op dood spoor.xml"
De gijzeling - Sebastian Fitzek,"9789026127724,9026127723,9789026127724",119466,Fitzek,"Thriller,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789026127724,332,Midprice,De gijzeling - Sebastian Fitzek.xml
"Mahr, Kurt - Tifflor, de Partizaan",,,,,,,,,
De complete werken van Joost van Vondel - Joost van den Vondel,,,,,,,,,
"Rhodan, Perry - 0453 - Attentie - Radioactief",,,,,,,,,
"Zelazny, Roger - Amber 01 - De negen prinsen",,,,,,,,,
"May, Julian - Het land der zieners","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;2693455243,2693455243,9782693455244;2160311111,2160311111,9782160311110;2116222222,2116222222,9782116222224;0268435456,0268435456,9780268435455;2116972582,2116972582,9782116972587;3972347243,3972347243,9783972347243;2117634222,2117634222,9782117634224;2462555234,2462555234,9782462555236;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382;2161011111,2161011111,9782161011118",,,,,,,,"May, Julian - Het land der zieners-6.xml"
"Burroughs, Edgar Rice - Tarzan en het Luipaardenvolk",,,,,,,,,
"Vance, Jack - De Domeinen van Koryphon en De zoon van de Boom",,,,,,,,,
"Nojoud, Ali - Ik Was Negen Toen Ik Moest Trouwen","9789460922497,946092249X,9789460922497",206462,Ali,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789460922497,302,Ik was negen toen ik moest trouwen,"Nojoud, Ali - Ik Was Negen Toen Ik Moest Trouwen.xml"
"Deflo, Luc - Jaloezie",,,,,,,,,
Geluk Blijft Niet Achter - Elvadi,,,,,,,,,
"Deschamps, Emile - Aan de kust van Malabar",,,,,,,,,
"Christie, Agatha - Wie adverteert een Moord",,,,,,,,,
"Heide van der, Willy - Arie Roos als ruilmatroos","9026916027,9026916027,9789026916021",263928,Heide,"Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789026916021,280,Arie roos als ruilmatroos,"Heide van der, Willy - Arie Roos als ruilmatroos.xml"
De voorganger _ druk 1 - Erik Lustbader,,,,,,,,,
"Mastricht van, Wouter - Spaans vuur",,,,,,,,,
En het regende brood,"9789400402751,9400402759,9789400402751",543417,Dierendonck,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789400402751,301,En het regende brood,En het regende brood.xml
"Terlouw, Jan - Koning van Katoren",,,,,,,,,
Havank - Havank 19 - (1950) De Weduwe in de Wilgen,,,,,,,,,
Alles komt goed,"9789045022550,9045022559,9789045022550;9789045020938,9045020939,9789045020938",189712,Essen,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789045022550,301,Alles komt goed,Alles komt goed.xml
Elizabeth George - De verdwenen Jozef,,,,,,,,,
"Wijnberg, Nachoem - Politiek en liefde","9789025430603,9025430600,9789025430603",39539,WIJNBERG,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025430603,301,Politiek en liefde,"Wijnberg, Nachoem - Politiek en liefde.xml"
"Couperus, Louis - Majesteit",,,,,,,,,
Havank Terpstra - Havank 53 (1975) Schaduw en Jan van Beieren,,,,,,,,,
"Oord, Steffie van den - Liefde In Oorlogstijd","9789025433291,9025433294,9789025433291",218507,Oord,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789025433291,301,Liefde in oorlogstijd,"Oord, Steffie van den - Liefde In Oorlogstijd.xml"
Ik wil een vent - India Knight,,,,,,,,,
Havank 06 - (1938) De NV Mateor.,,,,,,,,,
"Schmidt, Annie M.G. - Minoes",,,,,,,,,
"Vogt, A.E. van - Meesterbrein IQ 10.000",,,,,,,,,
"Cussler, Clive - Vuurijs",,,,,,,,,
Diverse auteurs - Moordvrouwen,"905713277X,905713277X,9789057132773",,,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789057132773,302,Moordvrouwen,Diverse auteurs - Moordvrouwen.xml
De weddenschap - Jennifer Crusie,"9044312111,9044312111,9789044312119",64828,Crusie,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789044312119,302,WEDDENSCHAP,De weddenschap - Jennifer Crusie.xml
"Andrews, Virginia - Casteel 5- De Droom Van Een Engel","904492611X,904492611X,9789044926118",53720,Andrews,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789044926118,330,Zwarte beertjes 2611: De droom van een engel,"Andrews, Virginia - Casteel 5- De Droom Van Een Engel.xml"
"Esquivel, Laura - Rode Rozen en Tortilla's",,,,,,,,,
"Sally _ druk 1 - North, F_","9789460921483,9460921485,9789460921483",153383,North,"Vertaalde literaire roman, novelle,Literaire fictie algemeen",dut,9789460921483,302,Sally,"Sally _ druk 1 - North, F_.xml"
"Frank, Alexander - De Fietser",,,,,,,,,
"Rood, Lydia - Samen in een familiegraf","9789490848309,9490848301,9789490848309",41986,Rood,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789490848309,301,Samen in een familiegraf,"Rood, Lydia - Samen in een familiegraf.xml"
Dooi - Rascha Peper,"9020458000,9020458000,9789020458008",24676,Peper,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789020458008,301,Dooi,Dooi - Rascha Peper.xml
"Harrison, Harry - Doodsstrijd in Appsala",,,,,,,,,
"Aardenburg van, A - Bas Banning 01 - De Zwarte Ruiter",,,,,,,,,
"Vance, Jack - Duivelsprinsen 5 - Het Boek der Dromen",,,,,,,,,
"Verkerk, Anita - Een nieuwe toekomst",,,,,,,,,
"Fulco de Minstreel [with accents] - Kievit, C.Joh_",,,,,,,,,
"Mollema, Elisabeth - Ladykiller",,,,,,,,,
"Vergeer, Angelo - Hein","9789047515289,9047515285,9789047515289",42976,Vergeer,"Fictie 13-15 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789047515289,284,Hein,"Vergeer, Angelo - Hein.xml"
"Aspe, Pieter - De zevende kamer","9789022322468,9022322467,9789022322468",17552,Aspe,"Spannende boeken algemeen,Literaire fictie algemeen",dut,9789022322468,330,De zevende kamer,"Aspe, Pieter - De zevende kamer.xml"
"Rhodan, Perry - 0199 - Het einde van Arkon",,,,,,,,,
Geniaal geheim _ druk 1 - David Baldacci,,,,,,,,,
"Andrews, Virginia - Casteel 1 - (1985) Hemel Zonder Engelen (Heaven)","9032502646,9032502646,9789032502645",53720,Andrews,"Pockets spanning,Pockets algemeen,Literaire fictie algemeen",dut,9789032502645,313,Hemel zonder engelen,"Andrews, Virginia - Casteel 1 - (1985) Hemel Zonder Engelen (Heaven).xml"
Nantas - Emile Zola,,,,,,,,,
"Christie, Agatha - Miss Marple - (1971) De Wraakgodin (Nemesis)",,,,,,,,,
"Camilleri, Andrea - De bloedakker",,,,,,,,,
"Kooten van, Kees - Het groot bescheurboek","4965613627,4965613627,9784965613628;2145233822,2145233822,9782145233826;5512125222,5512125222,9785512125229;2117649262,2117649262,9782117649266;2118639252,2118639252,9782118639259;0943724236,0943724236,9780943724232;2693455243,2693455243,9782693455244;2160311111,2160311111,9782160311110;1111111111,1111111111,9781111111113;5033165100,5033165100,9785033165100;0268435456,0268435456,9780268435455;3654897231,3654897231,9783654897233;2116972582,2116972582,9782116972587;2117634222,2117634222,9782117634224;3972347243,3972347243,9783972347243;1160111111,1160111111,9781160111119;2462555234,2462555234,9782462555236;2054730203,2054730203,9782054730201;4655622210,4655622210,9784655622213;2360011111,2360011111,9782360011117;4252772222,4252772222,9784252772229;2155222432,2155222432,9782155222438;2776861524,2776861524,9782776861528;3492458386,3492458386,9783492458382;2161011111,2161011111,9782161011118",,,,,,,,"Kooten van, Kees - Het groot bescheurboek-2.xml"
"Rhodan, Perry - 0066 - De bannelingen van Grey Beast","2155222432,2155222432,9782155222438",,,,,,,,"Rhodan, Perry - 0066 - De bannelingen van Grey Beast.xml"
"Dekkers, Midas - Poot","2155222432,2155222432,9782155222438;9789025430818,9025430813,9789025430818",38584,Dekkers,"Pockets non-fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789025430818,314,Poot,"Dekkers, Midas - Poot-1.xml"
"Benson, Bert - Euro-5 - 04 Slaven uit de ruimte",,,,,,,,,
"Klamer, Arjo - In Hemelsnaam!","9789025970178,9025970176,9789025970178",75082,Klamer,"Filosofie algemeen,Theologie algemeen",dut,9789025970178,730,In Hemelsnaam!,"Klamer, Arjo - In Hemelsnaam!.xml"
Avontuur in het verleden (vier science fiction verhalen) - Poul Anderson,,,,,,,,,
"Lewinsky, Charles - Het lot van de familie Meijer",,,,,,,,,
"Hogan, James P - Ruines op de Maan",,,,,,,,,
Havank - Havank 14 - (1946) De Schaduw is Terug,,,,,,,,,
"Pearson, Ridley - De Wreker",,,,,,,,,
"Andrews, Virginia - Wilde Bloemen 5 - (1999) Het Geheim Van De Wilde Bloemen (Into the Garden)",,,,,,,,,
Het Dagboek Van Anne-Wil 6,,,,,,,,,
"Cook, Robin - Ontvoerd",,,,,,,,,
"Rhodan, Perry - 0148 - Sprong in de intercosmos",,,,,,,,,
"Jeroen Brouwers, Bezonken rood - Jos Paardekooper",,,,,,,,,
"Gibson, Rachel - Undercover Lover",,,,,,,,,
"Dorn, Thea - De Meisjesmoorden",,,,,,,,,
"Amundsen, Roald - De Noordwestelijke Doorvaart De Aarde",,,,,,,,,
"Scheer, K.H. - De kosmische lokvogel",,,,,,,,,
"Malot, Hector - Alleen op de wereld",,,,,,,,,
"Hoffman, Jilliane - In een vlaag van waanzin",,,,,,,,,
"Zakaria, Fareed - De toekomst van vrijheid","1072301962,1072301962,9781072301967",,,,,,,,"Zakaria, Fareed - De toekomst van vrijheid.xml"
"Koontz, Dean - Middernacht","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"Koontz, Dean - Middernacht-1.xml"
"Cabre, Jaume - De Stemmen Van De Pamano",,,,,,,,,
De Boomvogels - Alfred Edmund Brehm,,,,,,,,,
